code,municipalityCode,name,locality,ward,type,lat,lon
CP-HMC-034,HMC,1 Ramrajatala Station Rd Opposite Icici Bank Point 4,1 Ramrajatala Station Rd Opposite Icici Bank,Ward 46,BIN_CLUSTER,22.581262,88.302106
CP-HMC-035,HMC,1 Ramrajatala Station Rd Opposite Icici Bank Point 5,1 Ramrajatala Station Rd Opposite Icici Bank,Ward 47,SCRAP_YARD,22.593339,88.299048
CP-HMC-036,HMC,Santragachi Point 1,Santragachi,Ward 50,COMPOST_HUB,22.581170,88.281840
CP-HMC-037,HMC,Santragachi Point 2,Santragachi,Ward 1,MRF,22.584156,88.278363
CP-HMC-038,HMC,Santragachi Point 3,Santragachi,Ward 2,BIN_CLUSTER,22.583786,88.285990
CP-HMC-039,HMC,Santragachi Point 4,Santragachi,Ward 3,SCRAP_YARD,22.577755,88.277726
CP-HMC-040,HMC,Santragachi Point 5,Santragachi,Ward 4,COMPOST_HUB,22.589974,88.280022
CP-HMC-041,HMC,Dasnagar Point 1,Dasnagar,Ward 7,MRF,22.604382,88.315208
CP-HMC-042,HMC,Dasnagar Point 2,Dasnagar,Ward 8,BIN_CLUSTER,22.608385,88.313270
CP-HMC-043,HMC,Dasnagar Point 3,Dasnagar,Ward 9,SCRAP_YARD,22.605292,88.320135
CP-HMC-044,HMC,Dasnagar Point 4,Dasnagar,Ward 10,COMPOST_HUB,22.602723,88.309975
CP-HMC-045,HMC,Dasnagar Point 5,Dasnagar,Ward 11,MRF,22.613142,88.317260
CP-HMC-046,HMC,Tikiapara Point 1,Tikiapara,Ward 14,BIN_CLUSTER,22.595219,88.328675
CP-HMC-047,HMC,Tikiapara Point 2,Tikiapara,Ward 15,SCRAP_YARD,22.599603,88.328586
CP-HMC-048,HMC,Tikiapara Point 3,Tikiapara,Ward 16,COMPOST_HUB,22.594280,88.333596
CP-HMC-049,HMC,Tikiapara Point 4,Tikiapara,Ward 17,MRF,22.595580,88.323156
CP-HMC-050,HMC,Tikiapara Point 5,Tikiapara,Ward 18,BIN_CLUSTER,22.602543,88.334272
CP-HMC-051,HMC,Near Bankra Point 1,Near Bankra,Ward 21,SCRAP_YARD,22.606969,88.281342
CP-HMC-052,HMC,Near Bankra Point 2,Near Bankra,Ward 22,COMPOST_HUB,22.611036,88.283116
CP-HMC-053,HMC,Near Bankra Point 3,Near Bankra,Ward 23,MRF,22.604329,88.285475
CP-HMC-054,HMC,Near Bankra Point 4,Near Bankra,Ward 24,BIN_CLUSTER,22.609291,88.276414
CP-HMC-055,HMC,Near Bankra Point 5,Near Bankra,Ward 25,SCRAP_YARD,22.611691,88.289594
CP-HMC-056,HMC,Belgachia Point 1,Belgachia,Ward 28,COMPOST_HUB,22.603853,88.388965
CP-HMC-057,HMC,Belgachia Point 2,Belgachia,Ward 29,MRF,22.606958,88.392319
CP-HMC-058,HMC,Belgachia Point 3,Belgachia,Ward 30,BIN_CLUSTER,22.599933,88.391652
CP-HMC-059,HMC,Belgachia Point 4,Belgachia,Ward 31,SCRAP_YARD,22.607769,88.385412
CP-HMC-060,HMC,Belgachia Point 5,Belgachia,Ward 32,COMPOST_HUB,22.605224,88.398560
CP-HMC-061,HMC,Jagacha Point 1,Jagacha,Ward 35,MRF,22.592459,88.276008
CP-HMC-062,HMC,Jagacha Point 2,Jagacha,Ward 36,BIN_CLUSTER,22.594107,88.280409
CP-HMC-063,HMC,Jagacha Point 3,Jagacha,Ward 37,SCRAP_YARD,22.587881,88.276822
CP-HMC-064,HMC,Jagacha Point 4,Jagacha,Ward 38,COMPOST_HUB,22.597345,88.274395
CP-HMC-065,HMC,Jagacha Point 5,Jagacha,Ward 39,MRF,22.590260,88.285419
CP-HMC-066,HMC,Podara Point 1,Podara,Ward 42,BIN_CLUSTER,22.560053,88.266789
CP-HMC-067,HMC,Podara Point 2,Podara,Ward 43,SCRAP_YARD,22.559982,88.271536
CP-HMC-068,HMC,Podara Point 3,Podara,Ward 44,COMPOST_HUB,22.555545,88.265600
CP-HMC-069,HMC,Podara Point 4,Podara,Ward 45,MRF,22.565133,88.267371
CP-HMC-070,HMC,Podara Point 5,Podara,Ward 46,BIN_CLUSTER,22.554633,88.274519
CP-HMC-071,HMC,Chak Kadamtala Point 1,Chak Kadamtala,Ward 49,SCRAP_YARD,22.650874,88.209991
CP-HMC-072,HMC,Chak Kadamtala Point 2,Chak Kadamtala,Ward 50,COMPOST_HUB,22.649096,88.214334
CP-HMC-073,HMC,Chak Kadamtala Point 3,Chak Kadamtala,Ward 1,MRF,22.647154,88.206988
CP-HMC-074,HMC,Chak Kadamtala Point 4,Chak Kadamtala,Ward 2,BIN_CLUSTER,22.655340,88.212679
CP-HMC-075,HMC,Chak Kadamtala Point 5,Chak Kadamtala,Ward 3,SCRAP_YARD,22.643096,88.214817
CP-HMC-076,HMC,Sankrail Point 1,Sankrail,Ward 6,COMPOST_HUB,22.559940,88.228027
CP-HMC-077,HMC,Sankrail Point 2,Sankrail,Ward 7,MRF,22.556737,88.231269
CP-HMC-078,HMC,Sankrail Point 3,Sankrail,Ward 8,BIN_CLUSTER,22.557598,88.223690
CP-HMC-079,HMC,Sankrail Point 4,Sankrail,Ward 9,SCRAP_YARD,22.563082,88.232388
CP-HMC-080,HMC,Sankrail Point 5,Sankrail,Ward 10,COMPOST_HUB,22.551040,88.229175
CP-HMC-081,HMC,Domjur Point 1,Domjur,Ward 13,MRF,22.637362,88.219244
CP-HMC-082,HMC,Domjur Point 2,Domjur,Ward 14,BIN_CLUSTER,22.633244,88.220874
CP-HMC-083,HMC,Domjur Point 3,Domjur,Ward 15,SCRAP_YARD,22.636771,88.214258
CP-HMC-084,HMC,Domjur Point 4,Domjur,Ward 16,COMPOST_HUB,22.638681,88.224591
CP-HMC-085,HMC,Domjur Point 5,Domjur,Ward 17,MRF,22.628755,88.216534
CP-HMC-086,HMC,Andul Point 1,Andul,Ward 20,BIN_CLUSTER,22.587510,88.226427
CP-HMC-087,HMC,Andul Point 2,Andul,Ward 21,SCRAP_YARD,22.583131,88.226185
CP-HMC-088,HMC,Andul Point 3,Andul,Ward 22,COMPOST_HUB,22.588764,88.221589
CP-HMC-089,HMC,Andul Point 4,Andul,Ward 23,MRF,22.586795,88.231905
CP-HMC-090,HMC,Andul Point 5,Andul,Ward 24,BIN_CLUSTER,22.580565,88.220291
CP-HMC-091,HMC,Kona Point 1,Kona,Ward 27,SCRAP_YARD,22.612219,88.288893
CP-HMC-092,HMC,Kona Point 2,Kona,Ward 28,COMPOST_HUB,22.608276,88.286816
CP-HMC-093,HMC,Kona Point 3,Kona,Ward 29,MRF,22.615119,88.284970
CP-HMC-094,HMC,Kona Point 4,Kona,Ward 30,BIN_CLUSTER,22.609585,88.293634
CP-HMC-095,HMC,Kona Point 5,Kona,Ward 31,SCRAP_YARD,22.608040,88.280304
CP-HMC-096,HMC,Unsani Rd Point 1,Unsani Rd,Ward 34,COMPOST_HUB,22.593990,88.260064
CP-HMC-097,HMC,Unsani Rd Point 2,Unsani Rd,Ward 35,MRF,22.591109,88.256484
CP-HMC-098,HMC,Unsani Rd Point 3,Unsani Rd,Ward 36,BIN_CLUSTER,22.598074,88.257681
CP-HMC-099,HMC,Unsani Rd Point 4,Unsani Rd,Ward 37,SCRAP_YARD,22.589855,88.263313
CP-HMC-100,HMC,Unsani Rd Point 5,Unsani Rd,Ward 38,COMPOST_HUB,22.593240,88.250390
CP-BMC-101,BMC,Barrackpore Point 1,Barrackpore,Ward 1,MRF,22.762128,88.370190
CP-BMC-102,BMC,Barrackpore Point 2,Barrackpore,Ward 2,BIN_CLUSTER,22.758259,88.372428
CP-BMC-103,BMC,Salt Lake Road Point 1,Salt Lake Road,Ward 8,BIN_CLUSTER,22.518103,88.350326
CP-BMC-104,BMC,Salt Lake Road Point 2,Salt Lake Road,Ward 9,SCRAP_YARD,22.513736,88.350746
CP-BMC-105,BMC,Barasat Point 1,Barasat,Ward 15,SCRAP_YARD,22.723146,88.485771
CP-BMC-106,BMC,Barasat Point 2,Barasat,Ward 16,COMPOST_HUB,22.718974,88.484308
CP-BMC-107,BMC,Naihati Point 1,Naihati,Ward 22,COMPOST_HUB,22.889754,88.420049
CP-BMC-108,BMC,Naihati Point 2,Naihati,Ward 23,MRF,22.886442,88.416931
CP-BMC-109,BMC,Titagarh Point 1,Titagarh,Ward 29,MRF,22.739421,88.367116
CP-BMC-110,BMC,Titagarh Point 2,Titagarh,Ward 30,BIN_CLUSTER,22.737493,88.362846
CP-BMC-111,BMC,Panihati Point 1,Panihati,Ward 36,BIN_CLUSTER,22.695169,88.367593
CP-BMC-112,BMC,Panihati Point 2,Panihati,Ward 37,SCRAP_YARD,22.694934,88.362848
CP-BMC-113,BMC,Sodepur Point 1,Sodepur,Ward 43,SCRAP_YARD,22.696523,88.381673
CP-BMC-114,BMC,Sodepur Point 2,Sodepur,Ward 44,COMPOST_HUB,22.698018,88.377205
CP-BMC-115,BMC,Baranagar Point 1,Baranagar,Ward 50,COMPOST_HUB,22.636050,88.362670
CP-BMC-116,BMC,Baranagar Point 2,Baranagar,Ward 1,MRF,22.639036,88.359192
CP-BMC-117,BMC,Madhyamgram Point 1,Madhyamgram,Ward 7,MRF,22.696377,88.468608
CP-BMC-118,BMC,Madhyamgram Point 2,Madhyamgram,Ward 8,BIN_CLUSTER,22.700380,88.466669
CP-BMC-119,BMC,New Barrackpore Point 1,New Barrackpore,Ward 14,BIN_CLUSTER,22.695834,88.440664
CP-BMC-120,BMC,New Barrackpore Point 2,New Barrackpore,Ward 15,SCRAP_YARD,22.700218,88.440575
CP-BMC-121,BMC,Rajarhat Point 1,Rajarhat,Ward 21,SCRAP_YARD,22.622609,88.439738
CP-BMC-122,BMC,Rajarhat Point 2,Rajarhat,Ward 22,COMPOST_HUB,22.626676,88.441512
CP-BMC-123,BMC,Baguiati Point 1,Baguiati,Ward 28,COMPOST_HUB,22.609857,88.426220
CP-BMC-124,BMC,Baguiati Point 2,Baguiati,Ward 29,MRF,22.612962,88.429574
CP-BMC-125,BMC,Kamarhati Point 1,Kamarhati,Ward 35,MRF,22.681380,88.369687
CP-BMC-126,BMC,Kamarhati Point 2,Kamarhati,Ward 36,BIN_CLUSTER,22.683028,88.374091
CP-BMC-127,BMC,Agarpara Point 1,Agarpara,Ward 42,BIN_CLUSTER,22.686424,88.397537
CP-BMC-128,BMC,Agarpara Point 2,Agarpara,Ward 43,SCRAP_YARD,22.686353,88.402289
CP-BMC-129,BMC,Belghoria Expressway Flyover Point 1,Belghoria Expressway Flyover,Ward 49,SCRAP_YARD,22.654231,88.361449
CP-BMC-130,BMC,Belghoria Expressway Flyover Point 2,Belghoria Expressway Flyover,Ward 50,COMPOST_HUB,22.652453,88.365792
CP-BRK-131,BRK,Barrackpore Point 1,Barrackpore,Ward 1,MRF,22.762128,88.370190
CP-BRK-132,BRK,Barrackpore Point 2,Barrackpore,Ward 2,BIN_CLUSTER,22.758259,88.372428
CP-BRK-133,BRK,Salt Lake Road Point 1,Salt Lake Road,Ward 8,BIN_CLUSTER,22.518103,88.350326
CP-BRK-134,BRK,Salt Lake Road Point 2,Salt Lake Road,Ward 9,SCRAP_YARD,22.513736,88.350746
CP-BRK-135,BRK,Barasat Point 1,Barasat,Ward 15,SCRAP_YARD,22.723146,88.485771
CP-BRK-136,BRK,Barasat Point 2,Barasat,Ward 16,COMPOST_HUB,22.718974,88.484308
CP-BRK-137,BRK,Naihati Point 1,Naihati,Ward 22,COMPOST_HUB,22.889754,88.420049
CP-BRK-138,BRK,Naihati Point 2,Naihati,Ward 23,MRF,22.886442,88.416931
CP-BRK-139,BRK,Titagarh Point 1,Titagarh,Ward 29,MRF,22.739421,88.367116
CP-BRK-140,BRK,Titagarh Point 2,Titagarh,Ward 30,BIN_CLUSTER,22.737493,88.362846
CP-BRK-141,BRK,Panihati Point 1,Panihati,Ward 36,BIN_CLUSTER,22.695169,88.367593
CP-BRK-142,BRK,Panihati Point 2,Panihati,Ward 37,SCRAP_YARD,22.694934,88.362848
CP-BRK-143,BRK,Sodepur Point 1,Sodepur,Ward 43,SCRAP_YARD,22.696523,88.381673
CP-BRK-144,BRK,Sodepur Point 2,Sodepur,Ward 44,COMPOST_HUB,22.698018,88.377205
CP-BRK-145,BRK,Baranagar Point 1,Baranagar,Ward 50,COMPOST_HUB,22.636050,88.362670
CP-BRK-146,BRK,Baranagar Point 2,Baranagar,Ward 1,MRF,22.639036,88.359192
CP-BRK-147,BRK,Madhyamgram Point 1,Madhyamgram,Ward 7,MRF,22.696377,88.468608
CP-BRK-148,BRK,Madhyamgram Point 2,Madhyamgram,Ward 8,BIN_CLUSTER,22.700380,88.466669
CP-BRK-149,BRK,New Barrackpore Point 1,New Barrackpore,Ward 14,BIN_CLUSTER,22.695834,88.440664
CP-BRK-150,BRK,New Barrackpore Point 2,New Barrackpore,Ward 15,SCRAP_YARD,22.700218,88.440575
CP-BRK-151,BRK,Rajarhat Point 1,Rajarhat,Ward 21,SCRAP_YARD,22.622609,88.439738
CP-BRK-152,BRK,Rajarhat Point 2,Rajarhat,Ward 22,COMPOST_HUB,22.626676,88.441512
CP-BRK-153,BRK,Baguiati Point 1,Baguiati,Ward 28,COMPOST_HUB,22.609857,88.426220
CP-BRK-154,BRK,Baguiati Point 2,Baguiati,Ward 29,MRF,22.612962,88.429574
CP-BRK-155,BRK,Kamarhati Point 1,Kamarhati,Ward 35,MRF,22.681380,88.369687
